platform,title,link,price,location,price_clean
krisha,1-комнатная квартира · 54.62 м²,https://krisha.kz/a/show/1002040611?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=hot_block_filter&srchpos=1,от 17 478 400 〒,"160 квартал, 32-ая улица",17478400
krisha,3-комнатная квартира · 100.77 м²,https://krisha.kz/a/show/697969342?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=hot_block_filter&srchpos=2,от 74 065 950 〒,"Нура р-н, Е-899 33",74065950
krisha,4-комнатная квартира · 80 м² · 5/5 этаж,https://krisha.kz/a/show/1005786291?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=hot_block_filter&srchpos=3,14 300 000 〒,мкр Аса,14300000
krisha,2-комнатная квартира · 65.43 м²,https://krisha.kz/a/show/1003481202?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=1,от 42 856 650 〒,"Сарайшык р-н, Шамши Калдаяков 14",42856650
krisha,2-комнатная квартира · 47.49 м²,https://krisha.kz/a/show/760288056?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=2,от 27 734 160 〒,"Есильский р-н, Турар Рыскулов 18/1",27734160
krisha,3-комнатная квартира · 79.58 м²,https://krisha.kz/a/show/698852251?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=3,от 34 139 820 〒,Шайден Даулетова 2,34139820
krisha,2-комнатная квартира · 122 м²,https://krisha.kz/a/show/699220018?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=4,от 100 040 000 〒,"Наурызбайский р-н, мкр Таусамалы, мкр. Таусамалы 49/1",100040000
krisha,2-комнатная квартира · 62.3 м²,https://krisha.kz/a/show/695736655?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=5,от 28 658 000 〒,"Алматы р-н, Сафуан Шаймерденов 4/1",28658000
krisha,2-комнатная квартира · 66.11 м²,https://krisha.kz/a/show/1003965246?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=6,от 37 021 600 〒,"Нура р-н, Улы Дала 38",37021600
krisha,1-комнатная квартира · 30 м² · 7/18 этаж,https://krisha.kz/a/show/1004472838?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=7,15 199 000 〒,"Сарыарка р-н, Косшыгулулы 10/2 — Тд северный",15199000
krisha,2-комнатная квартира · 46.2 м² · 4/9 этаж,https://krisha.kz/a/show/1004318013?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=8,28 500 000 〒,"Алатауский р-н, мкр Аккент 67 — Пр. Раймбека и Яссауи",28500000
krisha,2-комнатная квартира · 44 м² · 4/5 этаж,https://krisha.kz/a/show/1005596161?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=9,35 700 000 〒,"Бостандыкский р-н, мкр Алмагуль 286 — Угл. Дунаевского",35700000
krisha,3-комнатная квартира · 81.6 м² · 11/12 этаж,https://krisha.kz/a/show/1005172816?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=10,56 000 000 〒,"Нура р-н, E36 4 — Самая лучшая цена",56000000
krisha,2-комнатная квартира · 61.7 м² · 4/9 этаж,https://krisha.kz/a/show/762224899?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=11,37 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Райымбека 590/10 — Жуалы",37000000
krisha,3-комнатная квартира · 85.5 м² · 8/8 этаж,https://krisha.kz/a/show/761211878?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=12,95 000 000 〒,"Алмалинский р-н, Панфилова 80",95000000
krisha,3-комнатная квартира · 74 м² · 9/9 этаж,https://krisha.kz/a/show/760837402?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=13,30 000 000 〒,"Турксибский р-н, мкр Кайрат, Сыбызгы 18",30000000
krisha,3-комнатная квартира · 70.9 м² · 16/16 этаж,https://krisha.kz/a/show/698583419?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=14,65 000 000 〒,"Бостандыкский р-н, Сатпаева 90/58 — ТРЦ АДК",65000000
krisha,2-комнатная квартира · 64 м² · 6/13 этаж,https://krisha.kz/a/show/698227527?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=15,51 000 000 〒,"Ауэзовский р-н, Шаляпина саина 1/18",51000000
krisha,3-комнатная квартира · 65.2 м² · 5/5 этаж,https://krisha.kz/a/show/697957410?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=16,49 000 000 〒,"Ауэзовский р-н, мкр Мамыр, Таугуль 12",49000000
krisha,3-комнатная квартира · 110 м² · 9/12 этаж,https://krisha.kz/a/show/696283372?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=17,42 500 000 〒,"Алматы р-н, Сатпаева 18 — Момышулы",42500000
krisha,1-комнатная квартира · 31 м² · 5/5 этаж,https://krisha.kz/a/show/1005773726?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=18,12 500 000 〒,Павлова 28 — Лермонтова,12500000
krisha,3-комнатная квартира · 84 м² · 4/12 этаж,https://krisha.kz/a/show/1005392301?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=19,54 000 000 〒,"Нура р-н, Санжара Асфендиярова 5 — Сыганак - Асфандьярова",54000000
krisha,3-комнатная квартира · 75 м² · 15/17 этаж,https://krisha.kz/a/show/1005156693?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=20,62 000 000 〒,"Есильский р-н, Туран 50/3, 50/4, 50/5 — Туран-Бухар Жырау",62000000
krisha,1-комнатная квартира · 47.2 м² · 8/10 этаж,https://krisha.kz/a/show/1001415108?srchid=01999e66-6eb8-7f45-b32f-b316e69c91b7&srchtype=filter&srchpos=21,33 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Жунисова 4/2",33000000
